"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee"
"152","E0",2013-12-14,"Chelsea","Crystal Palace",2,1,"H",2,1,"H","M Clattenburg"
"153","E0",2013-12-14,"Everton","Fulham",4,1,"H",1,0,"H","A Taylor"
"154","E0",2013-12-14,"Hull","Stoke",0,0,"D",0,0,"D","M Dean"
"155","E0",2013-12-14,"Man City","Arsenal",6,3,"H",2,1,"H","M Atkinson"
"156","E0",2013-12-14,"Newcastle","Southampton",1,1,"D",1,0,"H","M Jones"
"157","E0",2013-12-14,"West Ham","Sunderland",0,0,"D",0,0,"D","A Marriner"
"158","E0",2013-12-15,"Aston Villa","Man United",0,3,"A",0,2,"A","C Foy"
"159","E0",2013-12-15,"Norwich","Swansea",1,1,"D",1,1,"D","M Oliver"
"160","E0",2013-12-15,"Tottenham","Liverpool",0,5,"A",0,2,"A","J Moss"
"161","E0",2013-12-21,"Crystal Palace","Newcastle",0,3,"A",0,2,"A","N Swarbrick"
"162","E0",2013-12-21,"Fulham","Man City",2,4,"A",0,2,"A","K Friend"
"163","E0",2013-12-21,"Liverpool","Cardiff",3,1,"H",3,0,"H","L Probert"
"164","E0",2013-12-21,"Man United","West Ham",3,1,"H",2,0,"H","M Jones"
"165","E0",2013-12-21,"Stoke","Aston Villa",2,1,"H",0,0,"D","C Pawson"
"166","E0",2013-12-21,"Sunderland","Norwich",0,0,"D",0,0,"D","M Atkinson"
"167","E0",2013-12-21,"West Brom","Hull",1,1,"D",0,1,"A","J Moss"
"168","E0",2013-12-22,"Southampton","Tottenham",2,3,"A",1,1,"D","C Foy"
"169","E0",2013-12-22,"Swansea","Everton",1,2,"A",0,0,"D","L Mason"
"170","E0",2013-12-23,"Arsenal","Chelsea",0,0,"D",0,0,"D","M Dean"
"171","E0",2013-12-26,"Aston Villa","Crystal Palace",0,1,"A",0,0,"D","H Webb"
"172","E0",2013-12-26,"Cardiff","Southampton",0,3,"A",0,3,"A","A Marriner"
"173","E0",2013-12-26,"Chelsea","Swansea",1,0,"H",1,0,"H","M Jones"
"174","E0",2013-12-26,"Everton","Sunderland",0,1,"A",0,1,"A","L Probert"
"175","E0",2013-12-26,"Hull","Man United",2,3,"A",2,2,"D","M Oliver"
"176","E0",2013-12-26,"Man City","Liverpool",2,1,"H",2,1,"H","L Mason"
"177","E0",2013-12-26,"Newcastle","Stoke",5,1,"H",1,1,"D","M Atkinson"
"178","E0",2013-12-26,"Norwich","Fulham",1,2,"A",1,1,"D","J Moss"
"179","E0",2013-12-26,"Tottenham","West Brom",1,1,"D",1,1,"D","A Taylor"
"180","E0",2013-12-26,"West Ham","Arsenal",1,3,"A",0,0,"D","P Dowd"
"181","E0",2013-12-28,"Aston Villa","Swansea",1,1,"D",1,1,"D","R East"
"182","E0",2013-12-28,"Cardiff","Sunderland",2,2,"D",1,0,"H","C Foy"
